H,T,HC,Add,C,C/T
Oe,K,uJ/K,uJ/K,J/molK,J/molK2
m = 3.11 mg,M = 311.25 g/mole,9.991967871485943e-06 mole,HC avg,,
-0.056,10.9194815,66.36768699999999,32.75303,6.642103723070739,0.6082801388573935
-0.056,11.2267575,69.1770155,34.919778,6.923262403336013,0.6166751533856515
-0.056,11.5322765,71.8757595,37.099723999999995,7.193353744172026,0.6237583485075151
-0.056,11.8401215,74.860777,39.342399,7.492095447347267,0.6327718383081852
-0.056,12.146516,77.8965105,41.638698000000005,7.795912827371384,0.6418229579059036
-0.056,12.4502335,81.05905949999999,43.987198,8.112421951567523,0.6515879362075838
-0.056,12.755024,84.220426,46.416565500000004,8.428812730707396,0.660822961266666
-0.056,13.059225,87.485661,48.918310500000004,8.755598709405145,0.6704531631398606
-0.056,13.3632585,90.938011,51.4700785,9.101111229501608,0.6810547913520948
-0.056,13.6687205,94.4573255,54.0911035,9.453325582596463,0.6916028155375965
-0.056,13.9741335,98.1964265,56.7463645,9.8275362534164,0.7032662349630765
-0.056,14.2793135,101.918815,59.451751,10.200074330787782,0.7143252601595855
-0.056,14.583829,105.45104,62.191773,10.553580771704182,0.7236495142465111
-0.056,14.8899265,109.118615,65.007375,10.92063309284566,0.7334242444276444
-0.056,15.1031175,111.93216000000001,67.009994,11.20221376205788,0.7417153287761868
-0.056,16.141589,124.875225,77.1338045,12.497560701366558,0.7742459990380475
-0.056,17.180204,139.136915,87.8606635,13.924876139469454,0.8105186725064181
-0.056,18.235970000000002,154.51366000000002,99.20291499999999,15.463786712218653,0.8479826799571754
-0.056,19.270284500000002,170.314145,110.78024500000001,17.04510534766881,0.8845279553433063
-0.056,20.3370635,187.36819,123.205795,18.751880751607718,0.9220544918693753
-0.056,21.3633425,202.72247,135.59177499999998,20.288543018488745,0.9496895449992783
-0.056,22.437909,220.770445,149.060505,22.09479132033762,0.9847081258925517
-0.056,23.46532,238.218705,162.21808,23.841019913585207,1.0160108583043064
-0.056,24.523387,256.54528500000004,175.80786,25.675151111334408,1.046965947702673
-0.056,25.573110999999997,275.51274,189.52507,27.57342132636656,1.0782192798665193
-0.056,26.6294265,293.83504000000005,203.980265,29.407124180064315,1.1043093316359747
-0.056,27.685491,311.83288500000003,219.17753,31.20835545217042,1.127245872293557
-0.056,28.7370555,331.398665,234.624455,33.16650626406753,1.1541372519556685
-0.056,29.7836305,351.221685,249.897535,35.15040175442122,1.1801919767444475
-0.056,30.8339575,370.95671000000004,265.126445,37.12549067122187,1.20404559392747
-0.056,31.882111000000002,391.871755,280.66908,39.218676444935696,1.230115422562066
-0.056,32.909681000000006,413.028215,296.65797999999995,41.336023125,1.2560444789786929
-0.056,33.9747225,432.09873,313.97221,43.24460762459807,1.2728465294925682
-0.056,35.0051835,450.840955,331.2078,45.12033673432476,1.2889615829131351
-0.056,36.219057,473.562905,351.7363,47.394358257636654,1.3085475488121254
-0.056,37.230954,492.59548,368.814775,49.2991457073955,1.324144036368112
-0.056,38.2373275,512.6762799999999,386.0242,51.30883991961414,1.3418521448606506
-0.056,39.2444045,532.760085,403.42827,53.318834873392284,1.3586353405717313
-0.056,40.2491825,553.1071999999999,420.981945,55.355181993569126,1.375311958039623
-0.056,5.2724471,93.821848,5.0854342,9.389726749196141,1.780904876067157
-0.056,5.3222877,94.40499,5.223341899999999,9.4480878255627,1.7751929918336995
-0.056,5.3685998,89.9595345,5.35685845,9.003184923834405,1.6770080205707278
-0.056,5.4134267000000005,78.977351,5.4900039,7.904083761655948,1.4600888124440565
-0.056,5.4585168500000005,65.384174,5.6260198,6.543673362540193,1.1988006160574904
-0.056,5.50246665,55.258885500000005,5.75869495,5.530330582596464,1.0050638984965887
-0.056,5.54563585,49.9275235,5.8918087,4.996765816519293,0.9010266724453776
-0.056,5.58834435,46.668279999999996,6.023985,4.670579469453376,0.8357715947574662
-0.056,5.63342445,45.761232500000006,6.16603765,4.579801805667203,0.8129694196337723
-0.056,5.6759638500000005,45.069072500000004,6.30120595,4.51053016579582,0.7946721094419619
