H,T,HC,Add,C,C/T
Oe,K,uJ/K,uJ/K,J/molK,J/molK2
m = 4.91 mg,M = 349.33 g/mole,1.4055477628603328e-05 mole,HC avg,,
0.0,5.85700925,38.825452999999996,5.8174043,2.762300508450101,0.47162304011217004
0.0,6.081949249999999,46.573966,6.444405099999999,3.3135811696089608,0.5448222327091863
0.0,6.3046757,54.77094699999999,7.0948498,3.896768821896129,0.6180760133143929
0.0,6.52414615,65.00611,7.76786935,4.624966274195519,0.7088998572166443
0.0,6.752460600000001,77.4835845,8.50051275,5.51269665445723,0.816398196304504
0.0,6.9763112,91.66244449999999,9.251601,6.5214748955570245,0.9348027501349173
0.0,7.2007221,109.053855,10.0416365,7.758815308991853,1.0775051725703806
0.0,7.424592299999999,127.60378,10.861971,9.07858013592668,1.2227715366844698
0.0,7.6486162,139.01047499999999,11.720653,9.890128153105904,1.2930611099437703
0.0,7.874434150000001,135.33558,12.619903,9.628671723299385,1.2227763341318163
0.0,8.09764285,124.69046,13.537828000000001,8.871307208105906,1.0955419215736226
0.0,8.3191992,116.77221000000002,14.4827495,8.307950329796334,0.9986478421861006
0.0,8.5399575,112.29337999999998,15.451771,7.989296626354376,0.9355194831302587
0.0,8.7592295,109.40594999999999,16.449334,7.783865685030548,0.8886473045409472
0.0,8.98443075,108.01154,17.508098500000003,7.6846580994297335,0.8553305505114761
0.0,9.20468565,108.0196,18.5798815,7.685231541344194,0.8349260185049551
0.0,9.42470905,107.97861499999999,19.6863435,7.682315596323827,0.8151249609476089
0.0,9.6483189,108.65055000000001,20.844133499999998,7.7301215135437875,0.8011884343441206
0.0,9.867922,109.583925,22.0047255,7.796528008197554,0.7900881267806489
0.0,10.0733815,110.533585,23.10549,7.864093125875763,0.7806805615250214
0.0,10.262311,112.356375,24.144137,7.993778508910386,0.7789452598844827
0.0,10.483481,114.21816999999999,25.375405,8.126238966619143,0.7751470114381991
0.0,10.7059795,116.360975,26.644361500000002,8.278692341496944,0.7732774326250993
0.0,10.931536,119.113385,27.967029,8.47451706355397,0.7752357091953016
0.0,11.1544065,121.54343499999999,29.311664,8.647406954898164,0.7752458147278535
0.0,11.373697499999999,124.527545,30.671130500000004,8.859716353329938,0.7789653587437102
0.0,11.596734,127.43625,32.093758,9.066660939409369,0.7818288269274236
0.0,11.8184215,130.763675,33.539881,9.303396046384929,0.787194469784728
0.0,12.0403185,134.00818,35.0159365,9.534231674012219,0.7918587597173795
0.0,12.2639025,137.66184499999997,36.5227195,9.79417766066191,0.7986183566496806
0.0,12.485877,141.26482499999997,38.0422785,10.05051757988798,0.8049508720843542
0.0,12.706768499999999,144.848305,39.576951,10.305470139643583,0.8110221052381322
0.0,12.929405000000001,148.94145500000002,41.145784000000006,10.596684007158858,0.8195801745833514
0.0,13.151635,152.89997,42.7426595,10.878319046863542,0.8271457538825813
0.0,13.375812,157.23609,44.381251000000006,11.186819413380853,0.8363469382928568
0.0,13.6014155,161.69862,46.06682,11.504313426598776,0.8458173655968951
0.0,13.8232795,166.358405,47.7594185,11.83584147019348,0.8562252879422341
0.0,14.0459745,170.95806,49.491210499999994,12.163091466354375,0.8659485652885369
0.0,14.2693455,175.595735,51.26126,12.493046457749488,0.875516431902885
0.0,14.49081,180.40998000000002,53.048463999999996,12.835563811283095,0.8857726939545197
0.0,14.712395999999998,185.2234,54.860378000000004,13.178022468839101,0.8957087933766262
0.0,14.935365000000001,190.05583000000001,56.711822,13.521833624012219,0.9053567572009267
0.0,15.157022,195.20120500000002,58.567491,13.887909764287167,0.916269024633412
0.0,15.196736000000001,195.55762499999997,58.9028335,13.913267849541747,0.915543169897914
0.0,16.7226285,231.444705,72.338724,16.466512993411403,0.9846844946302193
0.0,18.299823500000002,269.61728,87.2946675,19.182363426150708,1.0482266906099234
0.0,19.848028499999998,311.28604499999994,103.16735,22.146956028482684,1.115826492716024
0.0,21.4126575,355.01595,120.092645,25.258191815376776,1.1795916417836867
0.0,22.988666000000002,401.04457,137.77987000000002,28.532973449714863,1.2411756928268418
0.0,24.539453,445.718245,156.243225,31.711355300580443,1.2922600719983628
0.0,26.1274085,492.89439,176.14002499999998,35.06777948242362,1.342183610840073
0.0,29.2581445,585.536215,218.03665999999998,41.65893400935844,1.4238405996442611
0.0,30.823511000000003,632.936635,239.78031,45.031314603778,1.4609404685851004
0.0,32.385090500000004,681.707945,262.012525,48.501229414837056,1.4976406940977067
0.0,33.933772000000005,730.26599,284.56266500000004,51.95597113782077,1.5310991992820828
0.0,35.496594,777.45325,307.93543,55.31318611456211,1.5582674246031072
0.0,37.061055499999995,824.5396599999999,332.02533500000004,58.66322595270874,1.5828806050250983
0.0,38.6222905,871.27764,356.767745,61.988476167250504,1.6049922302575634
0.0,40.187723,917.287075,382.45714999999996,65.26189285330956,1.623926114283946
0.0,41.7492325,964.4706600000001,408.972765,68.6188463661507,1.6435953970207886
0.0,43.312425000000005,1011.5926999999999,436.32373000000007,71.97142115906313,1.661680710767479
0.0,44.871694000000005,1058.48395,464.47985,75.30757601904276,1.6782868954990366
0.0,46.443017,1103.1113500000001,493.729105,78.48266555916496,1.6898700951999945
0.0,48.007272,1149.4063999999998,523.55459,81.77640279266801,1.7034169905065217
0.0,51.138754,1240.1437999999998,584.18577,88.23206388065171,1.725346375874776
0.0,52.699989499999994,1283.7717499999999,615.271475,91.33604591191444,1.733132146296053
0.0,55.8245285,1372.4828499999999,682.50874,97.6475425642566,1.7491870542938235
0.0,57.3883515,1415.3314500000001,718.54494,100.6960764620163,1.7546431258269597
0.0,58.948519999999995,1458.3811999999998,755.9703900000001,103.75892150631361,1.7601616038250598
0.0,60.506467,1501.5117500000001,794.850555,106.82751519908349,1.765555328145064
