H,T,m1,dm1,m2,dm2,amp,phase,Hamp,f,chi1,chi2,Tround
Oe,K,emu,emu,emu,emu,emu,deg,Oe,Hz,cm3/mol,cm3/mol,K
1.3,3.304944705732808e-06, holder=58.19mg,wosk=0.43mg,,,,,,,,,
400.0,3.6996629999999997,0.0002785275,0.0,1.402246e-05,0.0,0.00027888020000000003,2.8821209999999997,3.0,7.154304,28.09199798076923,1.4142909335897436,3.7
400.0,3.6999169999999997,0.0002746641,0.0,1.327696e-05,0.0,0.0002749847,2.767461,3.0,10.20797,27.702339419230768,1.3391005682051282,3.7
400.0,3.699821,0.0002711022,0.0,1.203025e-05,0.0,0.0002713689,2.540853,3.0,14.575560000000001,27.343089838461538,1.2133586762820512,3.7
400.0,3.69979,0.0002682518,0.0,1.0102050000000001e-05,0.0,0.00026844200000000003,2.156674,3.0,20.81483,27.055601417948715,1.0188824019230769,3.7
400.0,3.699821,0.0002656981,0.0,9.287637e-06,0.0,0.00026586029999999997,2.001994,3.0,29.695909999999998,26.798037855128204,0.9367415420384615,3.7
400.0,3.69979,0.0002643261,0.0,7.4260519999999995e-06,0.0,0.0002644304,1.6092600000000001,3.0,42.382459999999995,26.659659342307688,0.7489839882564101,3.7
400.0,3.699853,0.0002628273,0.0,6.352243e-06,0.0,0.000262904,1.384506,3.0,60.483869999999996,26.508491911538457,0.6406807138589743,3.7
400.0,3.699726,0.0002620072,0.0,5.145934e-06,0.0,0.0002620577,1.125169,3.0,86.32597,26.425777466666663,0.5190136253589743,3.7
400.0,3.6998849999999996,0.0002613844,0.0,4.1225479999999995e-06,0.0,0.0002614169,0.9035926,3.0,123.1932,26.362962497435895,0.4157959630256409,3.7
400.0,3.69979,0.0002601915,0.0,3.7060710000000002e-06,0.0,0.0002602179,0.8160445,3.0,175.8912,26.242647826923076,0.37379051996153845,3.7
400.0,3.6999169999999997,0.0002597225,0.0,3.228435e-06,0.0,0.0002597425,0.7121685000000001,3.0,251.3405,26.195344967948717,0.3256166428846154,3.7
400.0,3.700044,0.0002591633,0.0,2.720118e-06,0.0,0.00025917759999999996,0.601341,3.0,357.8244,26.13894462948718,0.2743483116153846,3.7
400.0,3.6999800000000005,0.0002584542,4.813549e-08,2.129852e-06,2.220544e-07,0.00025846290000000003,0.4721484,3.0,512.2951,26.067425530769228,0.21481468825641026,3.7
400.0,3.699933,0.0002581406,5.589397e-08,1.3996780000000002e-06,1.228841e-07,0.0002581444,0.3106634,3.0,732.4219,26.035796156410257,0.1411700875128205,3.7
400.0,3.6998849999999996,0.0002575624,1.62928e-07,7.610194e-07,6.591674000000001e-07,0.00025756360000000003,0.16929129999999998,3.0,1041.667,25.977479497435894,0.07675563615128204,3.7
400.0,3.6998050000000005,0.00025986360000000003,4.414307e-08,2.727001e-06,3.203042e-06,0.00025987790000000003,0.6012380999999999,3.0,1488.095,26.209576169230772,0.27504252393589745,3.7
400.0,3.600048,0.0003362808,0.0,1.221538e-06,0.0,0.00033628309999999997,0.2081256,3.0,0.100003,33.916936584615385,0.12320306982051282,3.6
400.0,3.6000769999999997,0.0003359132,0.0,1.261018e-06,0.0,0.0003359155,0.2150873,3.0,0.1427445,33.87986082564102,0.12718498212820512,3.6
400.0,3.600048,0.00033599599999999997,0.0,1.97007e-06,0.0,0.0003360018,0.3359426,3.0,0.2037335,33.888211948717945,0.1986992396153846,3.6
400.0,3.600106,0.00033570769999999994,0.0,2.5851100000000003e-06,0.0,0.0003357177,0.4411960999999999,3.0,0.2908745,33.85913430641025,0.2607315432051282,3.6
400.0,3.600106,0.0003352116,0.0,3.427072e-06,0.0,0.0003352291,0.5857491,3.0,0.41520519999999994,33.809098169230765,0.34565096697435893,3.6
400.0,3.5999589999999997,0.00033473650000000004,0.0,4.456434e-06,0.0,0.00033476620000000003,0.7627484999999999,3.0,0.5925744000000001,33.76118007051282,0.4494713625384615,3.6
400.0,3.5999879999999997,0.0003338233,0.0,5.698914e-06,0.0,0.000333872,0.9780383,3.0,0.8457527,33.6690756551282,0.5747866209999999,3.6
400.0,3.599871,0.0003324631,0.0,7.134489e-06,0.0,0.0003325396,1.22935,3.0,1.206626,33.531887278205126,0.7195772431153845,3.6
400.0,3.5999879999999997,0.0003305218,0.0,8.581149e-06,0.0,0.0003306332,1.487203,3.0,1.7230919999999998,33.33608975128205,0.8654858869615385,3.6
400.0,3.5999,0.0003282366,0.0,9.852984e-06,0.0,0.0003283845,1.719384,3.0,2.459855,33.105606823076926,0.9937618606153845,3.6
400.0,3.600106,0.0003254736,0.0,1.0711760000000002e-05,0.0,0.0003256498,1.884998,3.0,3.51071,32.826933476923074,1.0803771271794873,3.6
400.0,3.5999879999999997,0.0003222552,0.0,1.123486e-05,0.0,0.0003224509,1.9967080000000001,3.0,5.012297,32.50232895384615,1.1331364566666666,3.6
400.0,3.5998129999999997,0.0003193592,0.0,1.129984e-05,0.0,0.0003195591,2.026443,3.0,7.154304,32.21024136410256,1.1396902728205127,3.6
400.0,3.599783,0.0003162191,0.0,1.110282e-05,0.0,0.0003164139,2.010896,3.0,10.20797,31.893534098717947,1.1198190376923076,3.6
400.0,3.5998419999999998,0.0003135563,0.0,1.070438e-05,0.0,0.0003137389,1.955239,3.0,14.575560000000001,31.624966821794867,1.079632787948718,3.6
400.0,3.5998419999999998,0.0003109346,0.0,9.678251e-06,0.0,0.0003110852,1.782831,3.0,20.81483,31.360544848717947,0.9761384694487178,3.6
400.0,3.599929,0.00030830779999999996,0.0,9.817501e-06,0.0,0.000308464,1.823864,3.0,29.695909999999998,31.09560849487179,0.990183081628205,3.6
400.0,3.599871,0.000306883,0.0,9.310094000000001e-06,0.0,0.0003070241,1.737684,3.0,42.382459999999995,30.951904628205124,0.9390065320256411,3.6
400.0,3.599783,0.000305195,0.0,9.06409e-06,0.0,0.0003053296,1.7011470000000002,3.0,60.483869999999996,30.78165467948718,0.9141948208974358,3.6
400.0,3.5999589999999997,0.0003034291,0.0,9.137968e-06,0.0,0.0003035666,1.724979,3.0,86.32597,30.603547816666666,0.9216460802051282,3.6
400.0,3.5999,0.0003015143,0.0,9.079735e-06,0.0,0.000301651,1.7248709999999998,3.0,123.1932,30.410423052564102,0.9157727595512819,3.6
400.0,3.599929,0.0002994914,0.0,9.793713e-06,0.0,0.0002996515,1.872971,3.0,175.8912,30.20639543333333,0.9877838483461537,3.6
400.0,3.5998129999999997,0.0002971216,0.0,1.097905e-05,0.0,0.0002973244,2.1161950000000003,3.0,251.3405,29.967379835897432,1.1073357224358973,3.6
400.0,3.5998129999999997,0.000294323,0.0,1.067884e-05,0.0,0.0002945166,2.0779349999999996,3.0,357.8244,29.685115910256407,1.0770568497435895,3.6
400.0,3.5999,0.0002909774,2.578614e-08,1.109303e-05,6.657731e-08,0.0002911888,2.183249,3.0,512.2951,29.347682125641025,1.1188316283333333,3.6
400.0,3.5999589999999997,0.0002878475,2.617714e-08,1.042083e-05,1.756912e-08,0.000288036,2.0733509999999997,3.0,732.4219,29.032003621794868,1.0510342257692307,3.6
400.0,3.599886,0.0002848899,1.234771e-09,8.266503e-06,5.232966e-07,0.0002850099,1.6620549999999998,3.0,1041.667,28.733703119230768,0.8337510141153844,3.6
